Eraser,Ortho,Ortho,Ortho,SpLiCE,SpLiCE,SpLiCE,LEACE,LEACE,LEACE
Algorithm,XpEnum,XpSatEnum,NaiveEnum,XpEnum,XpSatEnum,NaiveEnum,XpEnum,XpSatEnum,NaiveEnum
Rank,,,,,,,,,
1,0.5800,0.9000,1.0000*,-,-,-,-,-,-
2,0.3800,0.6600,0.8000*,-,-,-,-,-,-
3,0.3400,0.6200,0.8000*,-,-,-,-,-,-
4,0.2800,0.6000,0.8000*,-,-,-,-,-,-
5,0.2800,0.5800,0.8000*,-,-,-,-,-,-
6,0.2600,0.5400,0.8000*,-,-,-,-,-,-
7,0.2600,0.5400,0.8000*,-,-,-,-,-,-
8,0.2400,0.5400,0.6000*,-,-,-,-,-,-
9,0.2200,0.5200,0.6000*,-,-,-,-,-,-
10,0.2200,0.5200,0.6000*,-,-,-,-,-,-
